id,filename,class,nn1
0,TRAIN_3282_a_131897826332041919L,a,train
1,TRAIN_3084_b_131897823333526519L,b,train
2,TRAIN_1982_a_131897815344450509L,a,train
3,TRAIN_4734_p_131897848893418544L,p,train
4,TRAIN_3185_b_131897832692655128L,b,train
5,TRAIN_3204_f_131897825152104193L,f,train
6,TRAIN_5150_b_131897861103533280L,b,train
7,VALID_453_p_131897783488676446L,p,test
8,TRAIN_3429_a_131897828552537082L,a,train
9,VALID_2856_a_131897819863428801L,a,test
10,TEST_1051_p_131897792308614879L,p,valid
11,TEST_1203_f_131897794536366387L,f,valid
12,TRAIN_816_p_131897788879729769L,p,train
13,VALID_1827_b_131897804165942685L,b,test
14,VALID_4895_p_131897857358526734L,p,test
15,TRAIN_1433_p_131897807540659925L,p,train
16,VALID_1643_b_131897801385877843L,b,test
17,VALID_1694_b_131897802144880069L,b,test
18,TRAIN_5816_b_131897870793337703L,b,train
19,TRAIN_3110_b_131897831599625950L,b,train
20,TRAIN_1431_p_131897807510033767L,p,train
21,TRAIN_4994_b_131897852893044534L,b,train
22,TRAIN_4321_b_131897842477728095L,b,train
23,TRAIN_507_a_131897784311891479L,a,train
24,TRAIN_5650_f_131897863045042851L,f,train
25,VALID_4946_p_131897852143119314L,p,test
26,TEST_4126_p_131897839431822829L,p,valid
27,VALID_4435_a_131897850682608947L,a,test
28,TRAIN_345_b_131897781859779168L,b,train
29,TRAIN_3921_f_131897843251190667L,f,train
30,TRAIN_3909_b_131897836018180504L,b,train
31,TRAIN_4078_f_131897838676215290L,f,train
32,VALID_3155_b_131897832244822389L,b,test
33,TEST_774_b_131897798211956275L,b,valid
34,TRAIN_4271_p_131897848306097148L,p,train
35,TRAIN_2434_b_131897813400324075L,b,train
36,TRAIN_839_f_131897799117935428L,f,train
37,TEST_2916_a_131897820758131480L,a,valid
38,TEST_4768_a_131897849404761189L,a,valid
39,VALID_3241_f_131897833493013010L,f,test
40,TRAIN_2174_p_131897818071448287L,p,train
41,TRAIN_3599_b_131897838597614926L,b,train
42,TRAIN_5295_a_131897863294102808L,a,train
43,VALID_4587_b_131897852885204530L,b,test
44,TRAIN_1360_a_131897806482019728L,a,train
45,TRAIN_2222_f_131897818787885375L,f,train
46,TRAIN_1017_a_131897801593982808L,a,train
47,TRAIN_3038_b_131897830574098674L,b,train
48,TRAIN_1518_f_131897799483701611L,f,train
49,TRAIN_3934_a_131897836407412820L,a,train
